TABLE 1.4  List of Australian Refined Diagnosis Related Groups Version 8.0

DRG	Partition	Description
C13Z	S	Lacrimal Procedures
C14A	S	Other Eye Procedures, Major Complexity
C14B	S	Other Eye Procedures, Minor Complexity
C15Z	S	Glaucoma and Complex Cataract Procedures
C16Z	S	Lens Procedures
C60A	M	Acute and Major Eye Infections, Major Complexity
C60B	M	Acute and Major Eye Infections, Minor Complexity
C61A	M	Neurological and Vascular Disorders of the Eye, Major Complexity
C61B	M	Neurological and Vascular Disorders of the Eye, Minor Complexity
C62A	M	Hyphaema and Medically Managed Trauma to the Eye, Major Complexity
C62B	M	Hyphaema and Medically Managed Trauma to the Eye, Minor Complexity
C63A	M	Other Disorders of the Eye, Major Complexity
C63B	M	Other Disorders of the Eye, Intermediate Complexity
C63C	M	Other Disorders of the Eye, Minor Complexity

MDC 03 Diseases and Disorders of the Ear, Nose, Mouth and Throat		
D01Z	S	Cochlear Implant
D02A	S	Head and Neck Procedures, Major Complexity
D02B	S	Head and Neck Procedures, Intermediate Complexity
D02C	S	Head and Neck Procedures, Minor Complexity
D03Z	S	Surgical Repair for Cleft Lip and Palate Disorders
D04A	S	Maxillo Surgery, Major Complexity
D04B	S	Maxillo Surgery, Minor Complexity
D05Z	S	Parotid Gland Procedures
D06Z	S	Sinus and Complex Middle Ear Procedures
D10Z	S	Nasal Procedures
D11Z	S	Tonsillectomy and Adenoidectomy
D12A	S	Other Ear, Nose, Mouth and Throat Procedures, Major Complexity
D12B	S	Other Ear, Nose, Mouth and Throat Procedures, Minor Complexity
D13Z	S	Myringotomy W Tube Insertion
D14A	S	Mouth and Salivary Gland Procedures, Major Complexity
D14B	S	Mouth and Salivary Gland Procedures, Minor Complexity
D15Z	S	Mastoid Procedures
D40Z	O	Dental Extractions and Restorations
D60A	M	Ear, Nose, Mouth and Throat Malignancy, Major Complexity
D60B	M	Ear, Nose, Mouth and Throat Malignancy, Minor Complexity
D61A	M	Dysequilibrium, Major Complexity
D61B	M	Dysequilibrium, Minor Complexity
D62A	M	Epistaxis, Major Complexity
D62B	M	Epistaxis, Minor Complexity
D63A	M	Otitis Media and Upper Respiratory Infections, Major Complexity
D63B	M	Otitis Media and Upper Respiratory Infections, Minor Complexity
D64A	M	Laryngotracheitis and Epiglottitis, Major Complexity
D64B	M	Laryngotracheitis and Epiglottitis, Minor Complexity
D65A	M	Nasal Trauma and Deformity, Major Complexity
D65B	M	Nasal Trauma and Deformity, Minor Complexity
D66A	M	Other Ear, Nose, Mouth and Throat Disorders, Major Complexity
D66B	M	Other Ear, Nose, Mouth and Throat Disorders, Minor Complexity
D67A	M	Oral and Dental Disorders, Major Complexity
D67B	M	Oral and Dental Disorders, Minor Complexity

MDC 04 Diseases and Disorders of the Respiratory System		
E01A	S	Major Chest Procedures, Major Complexity
E01B	S	Major Chest Procedures, Intermediate Complexity
E01C	S	Major Chest Procedures, Minor Complexity
E02A	S	Other Respiratory System OR Procedures, Major Complexity
E02B	S	Other Respiratory System OR Procedures, Intermediate Complexity
E02C	S	Other Respiratory System OR Procedures, Minor Complexity
E40A	O	Respiratory System Disorders W Ventilator Support, Major Complexity
E40B	O	Respiratory System Disorders W Ventilator Support, Minor Complexity
E41A	O	Respiratory System Disorders W Non-Invasive Ventilation, Major Complexity
E41B	O	Respiratory System Disorders W Non-Invasive Ventilation, Minor Complexity
E42A	O	Bronchoscopy, Major Complexity
E42B	O	Bronchoscopy, Minor Complexity
E60A	M	Cystic Fibrosis, Major Complexity
E60B	M	Cystic Fibrosis, Minor Complexity
E61A	M	Pulmonary Embolism, Major Complexity
E61B	M	Pulmonary Embolism, Minor Complexity
E62A	M	Respiratory Infections and Inflammations, Major Complexity
E62B	M	Respiratory Infections and Inflammations, Minor Complexity
E63A	M	Sleep Apnoea, Major Complexity
E63B	M	Sleep Apnoea, Minor Complexity
E64A	M	Pulmonary Oedema and Respiratory Failure, Major Complexity
E64B	M	Pulmonary Oedema and Respiratory Failure, Minor Complexity
E65A	M	Chronic Obstructive Airways Disease, Major Complexity
E65B	M	Chronic Obstructive Airways Disease, Minor Complexity
E66A	M	Major Chest Trauma, Major Complexity
E66B	M	Major Chest Trauma, Minor Complexity
E67A	M	Respiratory Signs and Symptoms, Major Complexity
E67B	M	Respiratory Signs and Symptoms, Minor Complexity
E68A	M	Pneumothorax, Major Complexity
E68B	M	Pneumothorax, Minor Complexity
E69A	M	Bronchitis and Asthma, Major Complexity
E69B	M	Bronchitis and Asthma, Minor Complexity
E70A	M	Whooping Cough and Acute Bronchiolitis, Major Complexity
E70B	M	Whooping Cough and Acute Bronchiolitis, Minor Complexity
E71A	M	Respiratory Neoplasms, Major Complexity
E71B	M	Respiratory Neoplasms, Minor Complexity
E72Z	M	Respiratory Problems Arising from Neonatal Period
E73A	M	Pleural Effusion, Major Complexity
E73B	M	Pleural Effusion, Intermediate Complexity
E73C	M	Pleural Effusion, Minor Complexity
E74A	M	Interstitial Lung Disease, Major Complexity
E74B	M	Interstitial Lung Disease, Minor Complexity
E75A	M	Other Respiratory System Disorders, Major Complexity
E75B	M	Other Respiratory System Disorders, Minor Complexity
E76A	M	Respiratory Tuberculosis, Major Complexity
E76B	M	Respiratory Tuberculosis, Minor Complexity

MDC 05 Diseases and Disorders of the Circulatory System		
F01A	S	Implantation and Replacement of AICD, Total System, Major Complexity
F01B	S	Implantation and Replacement of AICD, Total System, Minor Complexity
F02Z	S	Other AICD Procedures
F03A	S	Cardiac Valve Procedures W CPB Pump W Invasive Cardiac Investigation, Major Comp
F03B	S	Cardiac Valve Procedures W CPB Pump W Invasive Cardiac Investigation, Minor Comp
F04A	S	Cardiac Valve Procedures W CPB Pump W/O Invasive Cardiac Invest, Major Comp
F04B	S	Cardiac Valve Procedures W CPB Pump W/O Invasive Cardiac Invest, Interm Comp
F04C	S	Cardiac Valve Procedures W CPB Pump W/O Invasive Cardiac Invest, Minor Comp
F05A	S	Coronary Bypass W Invasive Cardiac Investigation, Major Complexity
F05B	S	Coronary Bypass W Invasive Cardiac Investigation, Minor Complexity
F06A	S	Coronary Bypass W/O Invasive Cardiac Investigation, Major Complexity
F06B	S	Coronary Bypass W/O Invasive Cardiac Investigation, Minor Complexity
F07A	S	Other Cardiothoracic/Vascular Procedures W CPB Pump, Major Complexity
F07B	S	Other Cardiothoracic/Vascular Procedures W CPB Pump, Intermediate Complexity
F07C	S	Other Cardiothoracic/Vascular Procedures W CPB Pump, Minor Complexity
F08A	S	Major Reconstructive Vascular Procedures W/O CPB Pump, Major Complexity
F08B	S	Major Reconstructive Vascular Procedures W/O CPB Pump, Intermediate Complexity
F08C	S	Major Reconstructive Vascular Procedures W/O CPB Pump, Minor Complexity
F09A	S	Other Cardiothoracic Procedures W/O CPB Pump, Major Complexity
F09B	S	Other Cardiothoracic Procedures W/O CPB Pump, Intermediate Complexity
F09C	S	Other Cardiothoracic Procedures W/O CPB Pump, Minor Complexity
F10A	S	Interventional Coronary Procedures, Admitted for AMI, Major Complexity
F10B	S	Interventional Coronary Procedures, Admitted for AMI, Minor Complexity
F11A	S	Amputation, Except Upper Limb and Toe, for Circulatory Disorders, Major Comp
F11B	S	Amputation, Except Upper Limb and Toe, for Circulatory Disorders, Minor Comp
F12A	S	Implantation and Replacement of Pacemaker, Total System, Major Complexity
F12B	S	Implantation and Replacement of Pacemaker, Total System, Minor Complexity
F13A	S	Amputation, Upper Limb and Toe, for Circulatory Disorders, Major Complexity
F13B	S	Amputation, Upper Limb and Toe, for Circulatory Disorders, Minor Complexity
F14A	S	Vascular Procedures, Except Major Reconstruction, W/O CPB Pump, Major Complexity
F14B	S	Vascular Procedures, Except Major Reconstruction, W/O CPB Pump, Interm Comp
F14C	S	Vascular Procedures, Except Major Reconstruction, W/O CPB Pump, Minor Complexity
F15A	S	Interventional Coronary Procs, Not Adm for AMI, W Stent Implant, Major Comp
F15B	S	Interventional Coronary Procs, Not Adm for AMI, W Stent Implant, Minor Comp
F16A	S	Interventional Coronary Procs, Not Adm for AMI, W/O Stent Implant, Major Comp
F16B	S	Interventional Coronary Procs, Not Adm for AMI, W/O Stent Implant, Minor Comp
F17A	S	Insertion and Replacement of Pacemaker Generator, Major Complexity
F17B	S	Insertion and Replacement of Pacemaker Generator, Minor Complexity
F18A	S	Other Pacemaker Procedures, Major Complexity
F18B	S	Other Pacemaker Procedures, Minor Complexity
F19A	S	Trans-Vascular Percutaneous Cardiac Intervention, Major Complexity
F19B	S	Trans-Vascular Percutaneous Cardiac Intervention, Minor Complexity
F20Z	S	Vein Ligation and Stripping
F21A	S	Other Circulatory System OR Procedures, Major Complexity
F21B	S	Other Circulatory System OR Procedures, Intermediate Complexity
F21C	S	Other Circulatory System OR Procedures, Minor Complexity
F40A	O	Circulatory Disorders W Ventilator Support, Major Complexity
F40B	O	Circulatory Disorders W Ventilator Support, Minor Complexity
F41A	O	Circulatory Disorders, Adm for AMI W Invasive Cardiac Inves Proc, Major Comp
F41B	O	Circulatory Disorders, Adm for AMI W Invasive Cardiac Inves Proc, Minor Comp
F42A	O	Circulatory Dsrds, Not Adm for AMI W Invasive Cardiac Inves Proc, Major Comp
F42B	O	Circulatory Dsrds, Not Adm for AMI W Invasive Cardiac Inves Proc, Minor Comp
F43A	O	Circulatory Disorders W Non-Invasive Ventilation, Major Complexity
F43B	O	Circulatory Disorders W Non-Invasive Ventilation, Minor Complexity
F60A	M	Circulatory Dsrd, Adm for AMI W/O Invas Card Inves Proc
F60B	M	Circulatory Dsrd, Adm for AMI W/O Invas Card Inves Proc, Transf <5 Days
F61A	M	Infective Endocarditis, Major Complexity
F61B	M	Infective Endocarditis, Minor Complexity
F62A	M	Heart Failure and Shock, Major Complexity
F62B	M	Heart Failure and Shock, Minor Complexity
F62C	M	Heart Failure and Shock, Transferred <5 Days
F63A	M	Venous Thrombosis, Major Complexity
F63B	M	Venous Thrombosis, Minor Complexity
F64A	M	Skin Ulcers in Circulatory Disorders, Major Complexity
F64B	M	Skin Ulcers in Circulatory Disorders, Intermediate Complexity
F64C	M	Skin Ulcers in Circulatory Disorders, Minor Complexity
F65A	M	Peripheral Vascular Disorders, Major Complexity
F65B	M	Peripheral Vascular Disorders, Minor Complexity
F66A	M	Coronary Atherosclerosis, Major Complexity
F66B	M	Coronary Atherosclerosis, Minor Complexity
F67A	M	Hypertension, Major Complexity
F67B	M	Hypertension, Minor Complexity
F68A	M	Congenital Heart Disease, Major Complexity
F68B	M	Congenital Heart Disease, Minor Complexity
F69A	M	Valvular Disorders, Major Complexity
F69B	M	Valvular Disorders, Minor Complexity
F72A	M	Unstable Angina, Major Complexity
F72B	M	Unstable Angina, Minor Complexity
F73A	M	Syncope and Collapse, Major Complexity
F73B	M	Syncope and Collapse, Minor Complexity
F74A	M	Chest Pain, Major Complexity
F74B	M	Chest Pain, Minor Complexity
F75A	M	Other Circulatory Disorders, Major Complexity
F75B	M	Other Circulatory Disorders, Intermediate Complexity
F75C	M	Other Circulatory Disorders, Minor Complexity
F76A	M	Arrhythmia, Cardiac Arrest and Conduction Disorders, Major Complexity
F76B	M	Arrhythmia, Cardiac Arrest and Conduction Disorders, Minor Complexity

MDC 06 Diseases and Disorders of the Digestive System		
G01A	S	Rectal Resection, Major Complexity
G01B	S	Rectal Resection, Intermediate Complexity
G01C	S	Rectal Resection, Minor Complexity
G02A	S	Major Small and Large Bowel Procedures, Major Complexity
G02B	S	Major Small and Large Bowel Procedures, Intermediate Complexity
G02C	S	Major Small and Large Bowel Procedures, Minor Complexity
G03A	S	Stomach, Oesophageal and Duodenal Procedures, Major Complexity
G03B	S	Stomach, Oesophageal and Duodenal Procedures, Intermediate Complexity
G03C	S	Stomach, Oesophageal and Duodenal Procedures, Minor Complexity
G04A	S	Peritoneal Adhesiolysis, Major Complexity
G04B	S	Peritoneal Adhesiolysis, Intermediate Complexity
G04C	S	Peritoneal Adhesiolysis, Minor Complexity
G05A	S	Minor Small and Large Bowel Procedures, Major Complexity
G05B	S	Minor Small and Large Bowel Procedures, Minor Complexity
G06Z	S	Pyloromyotomy
G07A	S	Appendicectomy, Major Complexity
G07B	S	Appendicectomy, Minor Complexity
G10A	S	Hernia Procedures, Major Complexity
G10B	S	Hernia Procedures, Minor Complexity
G11A	S	Anal and Stomal Procedures, Major Complexity
G11B	S	Anal and Stomal Procedures, Minor Complexity
G12A	S	Other Digestive System OR Procedures, Major Complexity
G12B	S	Other Digestive System OR Procedures, Intermediate Complexity
G12C	S	Other Digestive System OR Procedures, Minor Complexity
G46A	O	Complex Endoscopy, Major Complexity
G46B	O	Complex Endoscopy, Minor Complexity
G47A	O	Gastroscopy, Major Complexity
G47B	O	Gastroscopy, Intermediate Complexity
G47C	O	Gastroscopy, Minor Complexity
G48A	O	Colonoscopy, Major Complexity
G48B	O	Colonoscopy, Minor Complexity
G60A	M	Digestive Malignancy, Major Complexity
G60B	M	Digestive Malignancy, Minor Complexity
G61A	M	Gastrointestinal Haemorrhage, Major Complexity
G61B	M	Gastrointestinal Haemorrhage, Minor Complexity
G64A	M	Inflammatory Bowel Disease, Major Complexity
G64B	M	Inflammatory Bowel Disease, Minor Complexity
G65A	M	Gastrointestinal Obstruction, Major Complexity
G65B	M	Gastrointestinal Obstruction, Minor Complexity
G66A	M	Abdominal Pain and Mesenteric Adenitis, Major Complexity
G66B	M	Abdominal Pain and Mesenteric Adenitis, Minor Complexity
G67A	M	Oesophagitis and Gastroenteritis, Major Complexity
G67B	M	Oesophagitis and Gastroenteritis, Minor Complexity
G70A	M	Other Digestive System Disorders, Major Complexity
G70B	M	Other Digestive System Disorders, Minor Complexity

MDC 07 Diseases and Disorders of the Hepatobiliary System and Pancreas		
H01A	S	Pancreas, Liver and Shunt Procedures, Major Complexity
H01B	S	Pancreas, Liver and Shunt Procedures, Intermediate Complexity
H01C	S	Pancreas, Liver and Shunt Procedures, Minor Complexity
H02A	S	Major Biliary Tract Procedures, Major Complexity
H02B	S	Major Biliary Tract Procedures, Minor Complexity
H05A	S	Hepatobiliary Diagnostic Procedures, Major Complexity
H05B	S	Hepatobiliary Diagnostic Procedures, Minor Complexity
H06A	S	Other Hepatobiliary and Pancreas OR Procedures, Major Complexity
H06B	S	Other Hepatobiliary and Pancreas OR Procedures, Intermediate Complexity
H06C	S	Other Hepatobiliary and Pancreas OR Procedures, Minor Complexity
H07A	S	Open Cholecystectomy, Major Complexity
H07B	S	Open Cholecystectomy, Intermediate Complexity
H07C	S	Open Cholecystectomy, Minor Complexity
H08A	S	Laparoscopic Cholecystectomy, Major Complexity
H08B	S	Laparoscopic Cholecystectomy, Minor Complexity
H40A	O	Endoscopic Procedures for Bleeding Oesophageal Varices, Major Complexity
H40B	O	Endoscopic Procedures for Bleeding Oesophageal Varices, Intermediate Complexity
H40C	O	Endoscopic Procedures for Bleeding Oesophageal Varices, Minor Complexity
H43A	O	ERCP Procedures, Major Complexity
H43B	O	ERCP Procedures, Intermediate Complexity
H43C	O	ERCP Procedures, Minor Complexity
H60A	M	Cirrhosis and Alcoholic Hepatitis, Major Complexity
H60B	M	Cirrhosis and Alcoholic Hepatitis, Intermediate Complexity
H60C	M	Cirrhosis and Alcoholic Hepatitis, Minor Complexity
H61A	M	Malignancy of Hepatobiliary System and Pancreas, Major Complexity
H61B	M	Malignancy of Hepatobiliary System and Pancreas, Minor Complexity
H62A	M	Disorders of Pancreas, Except Malignancy, Major Complexity
H62B	M	Disorders of Pancreas, Except Malignancy, Minor Complexity
H63A	M	Other Disorders of Liver, Major Complexity
H63B	M	Other Disorders of Liver, Intermediate Complexity
H63C	M	Other Disorders of Liver, Minor Complexity
H64A	M	Disorders of the Biliary Tract, Major Complexity
H64B	M	Disorders of the Biliary Tract, Minor Complexity

MDC 08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue		
I01A	S	Bilateral and Multiple Major Joint Procedures of Lower Limb, Major Complexity
I01B	S	Bilateral and Multiple Major Joint Procedures of Lower Limb, Minor Complexity
I02A	S	Microvascular Tissue Transfers or Skin Grafts, Excluding Hand, Major Complexity
I02B	S	Microvascular Tissue Transfers or Skin Grafts, Excluding Hand, Intermediate Comp
I02C	S	Microvascular Tissue Transfers or Skin Grafts, Excluding Hand, Minor Complexity
I03A	S	Hip Replacement, Major Complexity
I03B	S	Hip Replacement, Minor Complexity
I04A	S	Knee Replacement, Major Complexity
I04B	S	Knee Replacement, Minor Complexity
I05A	S	Other Joint Replacement, Major Complexity
I05B	S	Other Joint Replacement, Minor Complexity
I06Z	S	Spinal Fusion for Deformity
I07Z	S	Amputation
I08A	S	Other Hip and Femur Procedures, Major Complexity
I08B	S	Other Hip and Femur Procedures, Minor Complexity
I09A	S	Spinal Fusion, Major Complexity
I09B	S	Spinal Fusion, Intermediate Complexity
I09C	S	Spinal Fusion, Minor Complexity
I10A	S	Other Back and Neck Procedures, Major Complexity
I10B	S	Other Back and Neck Procedures, Minor Complexity
I11Z	S	Limb Lengthening Procedures
I12A	S	Misc Musculoskeletal Procs for Infect/Inflam of Bone/Joint, Major Complexity
I12B	S	Misc Musculoskeletal Procs for Infect/Inflam of Bone/Joint, Intermediate Comp
I12C	S	Misc Musculoskeletal Procs for Infect/Inflam of Bone/Joint, Minor Complexity
I13A	S	Humerus, Tibia, Fibula and Ankle Procedures, Major Complexity
I13B	S	Humerus, Tibia, Fibula and Ankle Procedures, Minor Complexity
I15A	S	Cranio-Facial Surgery, Major Complexity
I15B	S	Cranio-Facial Surgery, Minor Complexity
I16Z	S	Other Shoulder Procedures
I17A	S	Maxillo-Facial Surgery, Major Complexity
I17B	S	Maxillo-Facial Surgery, Minor Complexity
I18A	S	Other Knee Procedures, Major Complexity
I18B	S	Other Knee Procedures, Minor Complexity
I19A	S	Other Elbow and Forearm Procedures, Major Complexity
I19B	S	Other Elbow and Forearm Procedures, Minor Complexity
I20A	S	Other Foot Procedures, Major Complexity
I20B	S	Other Foot Procedures, Minor Complexity
I21Z	S	Local Excision and Removal of Internal Fixation Devices of Hip and Femur
I23A	S	Local Excision & Removal of Internal Fixation Device, Except Hip & Fmr, Maj Comp
I23B	S	Local Excision & Removal of Internal Fixation Device, Except Hip & Fmr, Min Comp
I24A	S	Arthroscopy, Major Complexity
I24B	S	Arthroscopy, Minor Complexity
I25A	S	Bone and Joint Diagnostic Procedures Including Biopsy, Major Complexity
I25B	S	Bone and Joint Diagnostic Procedures Including Biopsy, Minor Complexity
I27A	S	Soft Tissue Procedures, Major Complexity
I27B	S	Soft Tissue Procedures, Minor Complexity
I28A	S	Other Musculoskeletal Procedures, Major Complexity
I28B	S	Other Musculoskeletal Procedures, Intermediate Complexity
I28C	S	Other Musculoskeletal Procedures, Minor Complexity
I29Z	S	Knee Reconstructions, and Revisions of Reconstructions
I30Z	S	Hand Procedures
I31A	S	Revision of Hip Replacement, Major Complexity
I31B	S	Revision of Hip Replacement, Intermediate Complexity
I31C	S	Revision of Hip Replacement, Minor Complexity
I32A	S	Revision of Knee Replacement, Major Complexity
I32B	S	Revision of Knee Replacement, Minor Complexity
I40Z	O	Infusions for Musculoskeletal Disorders, Sameday
I60Z	M	Femoral Shaft Fractures
I61A	M	Distal Femoral Fractures, Major Complexity
I61B	M	Distal Femoral Fractures, Minor Complexity
I63A	M	Sprains, Strains and Dislocations of Hip, Pelvis and Thigh, Major Complexity
I63B	M	Sprains, Strains and Dislocations of Hip, Pelvis and Thigh, Minor Complexity
I64A	M	Osteomyelitis, Major Complexity
I64B	M	Osteomyelitis, Minor Complexity
I65A	M	Musculoskeletal Malignant Neoplasms, Major Complexity
I65B	M	Musculoskeletal Malignant Neoplasms, Minor Complexity
I66A	M	Inflammatory Musculoskeletal Disorders, Major Complexity
I66B	M	Inflammatory Musculoskeletal Disorders, Intermediate Complexity
I66C	M	Inflammatory Musculoskeletal Disorders, Minor Complexity
I67A	M	Septic Arthritis, Major Complexity
I67B	M	Septic Arthritis, Minor Complexity
I68A	M	Non-surgical Spinal Disorders, Major Complexity
I68B	M	Non-surgical Spinal Disorders, Minor Complexity
I69A	M	Bone Diseases and Arthropathies, Major Complexity
I69B	M	Bone Diseases and Arthropathies, Minor Complexity
I71A	M	Other Musculotendinous Disorders, Major Complexity
I71B	M	Other Musculotendinous Disorders, Minor Complexity
I72A	M	Specific Musculotendinous Disorders, Major Complexity
I72B	M	Specific Musculotendinous Disorders, Minor Complexity
I73A	M	Aftercare of Musculoskeletal Implants or Prostheses, Major Complexity
I73B	M	Aftercare of Musculoskeletal Implants or Prostheses, Minor Complexity
I74A	M	Injuries to Forearm, Wrist, Hand and Foot, Major Complexity
I74B	M	Injuries to Forearm, Wrist, Hand and Foot, Minor Complexity
I75A	M	Injuries to Shoulder, Arm, Elbow, Knee, Leg and Ankle, Major Complexity
I75B	M	Injuries to Shoulder, Arm, Elbow, Knee, Leg and Ankle, Minor Complexity
I76A	M	Other Musculoskeletal Disorders, Major Complexity
I76B	M	Other Musculoskeletal Disorders, Intermediate Complexity
I76C	M	Other Musculoskeletal Disorders, Minor Complexity
I77A	M	Fractures of Pelvis, Major Complexity
I77B	M	Fractures of Pelvis, Minor Complexity
I78A	M	Fractures of Neck of Femur, Major Complexity
I78B	M	Fractures of Neck of Femur, Minor Complexity
I79A	M	Pathological Fractures, Major Complexity
I79B	M	Pathological Fractures, Minor Complexity
I80Z	M	Femoral Fractures, Transferred to Acute Facility <2 Days
I81Z	M	Musculoskeletal Injuries, Sameday
I82Z	M	Other Sameday Treatment for Musculoskeletal Disorders

MDC 09 Diseases and Disorders of the Skin, Subcutaneous Tissue and Breast		
J01A	S	Microvas Tiss Transf for Skin, Subcut Tiss & Breast Dsrds, Major Complexity
J01B	S	Microvas Tiss Transf for Skin, Subcut Tiss & Breast Dsrds, Minor Complexity
J06A	S	Major Procedures for Breast Disorders, Major Complexity
J06B	S	Major Procedures for Breast Disorders, Minor Complexity
J07A	S	Minor Procedures for Breast Disorders, Major Complexity
