id, alive, drg_code, description
"52", "1", "B63B",  "Dementia and Other Chronic Disturbances of Cerebral Function, Minor Complexity"
"53", "1", "B64A",  "Delirium, Major Complexity"
"54", "1", "B64B",  "Delirium, Minor Complexity"
"55", "1", "B65A",  "Cerebral Palsy, Major Complexity"
"56", "1", "B65B",  "Cerebral Palsy, Minor Complexity"
"57", "1", "B66A",  "Nervous System Neoplasms, Major Complexity"
"58", "1", "B66B",  "Nervous System Neoplasms, Minor Complexity"
"59", "1", "B67A",  "Degenerative Nervous System Disorders, Major Complexity"
"60", "1", "B67B",  "Degenerative Nervous System Disorders, Intermediate Complexity"
"61", "1", "B67C",  "Degenerative Nervous System Disorders, Minor Complexity"
"62", "1", "B68A",  "Multiple Sclerosis and Cerebellar Ataxia, Major Complexity"
"63", "1", "B68B",  "Multiple Sclerosis and Cerebellar Ataxia, Minor Complexity"
"64", "1", "B69A",  "TIA and Precerebral Occlusion, Major Complexity"
"65", "1", "B69B",  "TIA and Precerebral Occlusion, Minor Complexity"
"66", "1", "B70A",  "Stroke and Other Cerebrovascular Disorders, Major Complexity"
"67", "1", "B70B",  "Stroke and Other Cerebrovascular Disorders, Intermediate Complexity"
"68", "1", "B70C",  "Stroke and Other Cerebrovascular Disorders, Minor Complexity"
"69", "1", "B70D",  "Stroke and Other Cerebrovascular Disorders, Transferred <5 Days"
"70", "1", "B71A",  "Cranial and Peripheral Nerve Disorders, Major Complexity"
"71", "1", "B71B",  "Cranial and Peripheral Nerve Disorders, Minor Complexity"
"72", "1", "B72A",  "Nervous System Infection Except Viral Meningitis, Major Complexity"
"73", "1", "B72B",  "Nervous System Infection Except Viral Meningitis, Minor Complexity"
"74", "1", "B73Z",  "Viral Meningitis"
"75", "1", "B74A",  "Nontraumatic Stupor and Coma, Major Complexity"
"76", "1", "B74B",  "Nontraumatic Stupor and Coma, Minor Complexity"
"77", "1", "B75Z",  "Febrile Convulsions"
"78", "1", "B76A",  "Seizures, Major Complexity"
"79", "1", "B76B",  "Seizures, Minor Complexity"
"80", "1", "B77A",  "Headaches, Major Complexity"
"81", "1", "B77B",  "Headaches, Minor Complexity"
"82", "1", "B78A",  "Intracranial Injuries, Major Complexity"
"83", "1", "B78B",  "Intracranial Injuries, Minor Complexity"
"84", "1", "B78C",  "Intracranial Injuries, Transferred <5 Days"
"85", "1", "B79A",  "Skull Fractures, Major Complexity"
"86", "1", "B79B",  "Skull Fractures, Minor Complexity"
"87", "1", "B80A",  "Other Head Injuries, Major Complexity"
"88", "1", "B80B",  "Other Head Injuries, Minor Complexity"
"89", "1", "B81A",  "Other Disorders of the Nervous System, Major Complexity"
"90", "1", "B81B",  "Other Disorders of the Nervous System, Minor Complexity"
"91", "1", "B82A",  "Chronic & Unspec Para/Quadriplegia W or W/O OR Proc, Major Complexity"
"92", "1", "B82B",  "Chronic & Unspec Para/Quadriplegia W or W/O OR Proc, Intermediate Complexity"
"93", "1", "B82C",  "Chronic & Unspec Para/Quadriplegia W or W/O OR Proc, Minor Complexity"
"94", "1", "C01A",  "Procedures for Penetrating Eye Injury, Major Complexity"
"95", "1", "C01B",  "Procedures for Penetrating Eye Injury, Minor Complexity"
"96", "1", "C02Z",  "Enucleations and Orbital Procedures"
"97", "1", "C03A",  "Retinal Procedures, Major Complexity"
"98", "1", "C03B",  "Retinal Procedures, Minor Complexity"
"99", "1", "C04A",  "Major Corneal, Scleral and Conjunctival Procedures, Major Complexity"
"100", "1", "C04B",  "Major Corneal, Scleral and Conjunctival Procedures, Minor Complexity"
"101", "1", "C05Z",  "Dacryocystorhinostomy"
"102", "1", "C10Z",  "Strabismus Procedures"
"103", "1", "C11Z",  "Eyelid Procedures"
"104", "1", "C12Z",  "Other Corneal, Scleral and Conjunctival Procedures"
"105", "1", "C13Z",  "Lacrimal Procedures"
"106", "1", "C14A",  "Other Eye Procedures, Major Complexity"
"107", "1", "C14B",  "Other Eye Procedures, Minor Complexity"
"108", "1", "C15Z",  "Glaucoma and Complex Cataract Procedures"
"109", "1", "C16Z",  "Lens Procedures"
"110", "1", "C60A",  "Acute and Major Eye Infections, Major Complexity"
"111", "1", "C60B",  "Acute and Major Eye Infections, Minor Complexity"
"112", "1", "C61A",  "Neurological and Vascular Disorders of the Eye, Major Complexity"
"113", "1", "C61B",  "Neurological and Vascular Disorders of the Eye, Minor Complexity"
"114", "1", "C62A",  "Hyphaema and Medically Managed Trauma to the Eye, Major Complexity"
"115", "1", "C62B",  "Hyphaema and Medically Managed Trauma to the Eye, Minor Complexity"
"116", "1", "C63A",  "Other Disorders of the Eye, Major Complexity"
"117", "1", "C63B",  "Other Disorders of the Eye, Intermediate Complexity"
"118", "1", "C63C",  "Other Disorders of the Eye, Minor Complexity"
"119", "1", "D01Z",  "Cochlear Implant"
"120", "1", "D02A",  "Head and Neck Procedures, Major Complexity"
"121", "1", "D02B",  "Head and Neck Procedures, Intermediate Complexity"
"122", "1", "D02C",  "Head and Neck Procedures, Minor Complexity"
"123", "1", "D03Z",  "Surgical Repair for Cleft Lip and Palate Disorders"
"124", "1", "D04A",  "Maxillo Surgery, Major Complexity"
"125", "1", "D04B",  "Maxillo Surgery, Minor Complexity"
"126", "1", "D05Z",  "Parotid Gland Procedures"
"127", "1", "D06Z",  "Sinus and Complex Middle Ear Procedures"
"128", "1", "D10Z",  "Nasal Procedures"
"129", "1", "D11Z",  "Tonsillectomy and Adenoidectomy"
"130", "1", "D12A",  "Other Ear, Nose, Mouth and Throat Procedures, Major Complexity"
"131", "1", "D12B",  "Other Ear, Nose, Mouth and Throat Procedures, Minor Complexity"
"132", "1", "D13Z",  "Myringotomy W Tube Insertion"
"133", "1", "D14A",  "Mouth and Salivary Gland Procedures, Major Complexity"
"134", "1", "D14B",  "Mouth and Salivary Gland Procedures, Minor Complexity"
"135", "1", "D15Z",  "Mastoid Procedures"
"136", "1", "D40Z",  "Dental Extractions and Restorations"
"137", "1", "D60A",  "Ear, Nose, Mouth and Throat Malignancy, Major Complexity"
"138", "1", "D60B",  "Ear, Nose, Mouth and Throat Malignancy, Minor Complexity"
"139", "1", "D61A",  "Dysequilibrium, Major Complexity"
"140", "1", "D61B",  "Dysequilibrium, Minor Complexity"
"141", "1", "D62A",  "Epistaxis, Major Complexity"
"142", "1", "D62B",  "Epistaxis, Minor Complexity"
"143", "1", "D63A",  "Otitis Media and Upper Respiratory Infections, Major Complexity"
"144", "1", "D63B",  "Otitis Media and Upper Respiratory Infections, Minor Complexity"
"145", "1", "D64A",  "Laryngotracheitis and Epiglottitis, Major Complexity"
"146", "1", "D64B",  "Laryngotracheitis and Epiglottitis, Minor Complexity"
"147", "1", "D65A",  "Nasal Trauma and Deformity, Major Complexity"
"148", "1", "D65B",  "Nasal Trauma and Deformity, Minor Complexity"
"149", "1", "D66A",  "Other Ear, Nose, Mouth and Throat Disorders, Major Complexity"
"150", "1", "D66B",  "Other Ear, Nose, Mouth and Throat Disorders, Minor Complexity"
"151", "1", "D67A",  "Oral and Dental Disorders, Major Complexity"
"152", "1", "D67B",  "Oral and Dental Disorders, Minor Complexity"
"153", "1", "E01A",  "Major Chest Procedures, Major Complexity"
"154", "1", "E01B",  "Major Chest Procedures, Intermediate Complexity"
"155", "1", "E01C",  "Major Chest Procedures, Minor Complexity"
"156", "1", "E02A",  "Other Respiratory System OR Procedures, Major Complexity"
"157", "1", "E02B",  "Other Respiratory System OR Procedures, Intermediate Complexity"
"158", "1", "E02C",  "Other Respiratory System OR Procedures, Minor Complexity"
"159", "1", "E40A",  "Respiratory System Disorders W Ventilator Support, Major Complexity"
"160", "1", "E40B",  "Respiratory System Disorders W Ventilator Support, Minor Complexity"
"161", "1", "E41A",  "Respiratory System Disorders W Non-Invasive Ventilation, Major Complexity"
"162", "1", "E41B",  "Respiratory System Disorders W Non-Invasive Ventilation, Minor Complexity"
"163", "1", "E42A",  "Bronchoscopy, Major Complexity"
"164", "1", "E42B",  "Bronchoscopy, Minor Complexity"
"165", "1", "E60A",  "Cystic Fibrosis, Major Complexity"
"166", "1", "E60B",  "Cystic Fibrosis, Minor Complexity"
"167", "1", "E61A",  "Pulmonary Embolism, Major Complexity"
"168", "1", "E61B",  "Pulmonary Embolism, Minor Complexity"
"169", "1", "E62A",  "Respiratory Infections and Inflammations, Major Complexity"
"170", "1", "E62B",  "Respiratory Infections and Inflammations, Minor Complexity"
"171", "1", "E63A",  "Sleep Apnoea, Major Complexity"
"172", "1", "E63B",  "Sleep Apnoea, Minor Complexity"
"173", "1", "E64A",  "Pulmonary Oedema and Respiratory Failure, Major Complexity"
"174", "1", "E64B",  "Pulmonary Oedema and Respiratory Failure, Minor Complexity"
"175", "1", "E65A",  "Chronic Obstructive Airways Disease, Major Complexity"
"176", "1", "E65B",  "Chronic Obstructive Airways Disease, Minor Complexity"
"177", "1", "E66A",  "Major Chest Trauma, Major Complexity"
"178", "1", "E66B",  "Major Chest Trauma, Minor Complexity"
"179", "1", "E67A",  "Respiratory Signs and Symptoms, Major Complexity"
"180", "1", "E67B",  "Respiratory Signs and Symptoms, Minor Complexity"
"181", "1", "E68A",  "Pneumothorax, Major Complexity"
"182", "1", "E68B",  "Pneumothorax, Minor Complexity"
"183", "1", "E69A",  "Bronchitis and Asthma, Major Complexity"
"184", "1", "E69B",  "Bronchitis and Asthma, Minor Complexity"
"185", "1", "E70A",  "Whooping Cough and Acute Bronchiolitis, Major Complexity"
"186", "1", "E70B",  "Whooping Cough and Acute Bronchiolitis, Minor Complexity"
"187", "1", "E71A",  "Respiratory Neoplasms, Major Complexity"
"188", "1", "E71B",  "Respiratory Neoplasms, Minor Complexity"
"189", "1", "E72Z",  "Respiratory Problems Arising from Neonatal Period"
"190", "1", "E73A",  "Pleural Effusion, Major Complexity"
"191", "1", "E73B",  "Pleural Effusion, Intermediate Complexity"
"192", "1", "E73C",  "Pleural Effusion, Minor Complexity"
"193", "1", "E74A",  "Interstitial Lung Disease, Major Complexity"
"194", "1", "E74B",  "Interstitial Lung Disease, Minor Complexity"
"195", "1", "E75A",  "Other Respiratory System Disorders, Major Complexity"
"196", "1", "E75B",  "Other Respiratory System Disorders, Minor Complexity"
"197", "1", "E76A",  "Respiratory Tuberculosis, Major Complexity"
"198", "1", "E76B",  "Respiratory Tuberculosis, Minor Complexity"
"199", "1", "F01A",  "Implantation and Replacement of AICD, Total System, Major Complexity"
"200", "1", "F01B",  "Implantation and Replacement of AICD, Total System, Minor Complexity"
"201", "1", "F02Z",  "Other AICD Procedures"
"202", "1", "F03A",  "Cardiac Valve Procedures W CPB Pump W Invasive Cardiac Investigation, Major Comp"
"203", "1", "F03B",  "Cardiac Valve Procedures W CPB Pump W Invasive Cardiac Investigation, Minor Comp"
"204", "1", "F04A",  "Cardiac Valve Procedures W CPB Pump W/O Invasive Cardiac Invest, Major Comp"
"205", "1", "F04B",  "Cardiac Valve Procedures W CPB Pump W/O Invasive Cardiac Invest, Interm Comp"
"206", "1", "F04C",  "Cardiac Valve Procedures W CPB Pump W/O Invasive Cardiac Invest, Minor Comp"
"207", "1", "F05A",  "Coronary Bypass W Invasive Cardiac Investigation, Major Complexity"
"208", "1", "F05B",  "Coronary Bypass W Invasive Cardiac Investigation, Minor Complexity"
"209", "1", "F06A",  "Coronary Bypass W/O Invasive Cardiac Investigation, Major Complexity"
"210", "1", "F06B",  "Coronary Bypass W/O Invasive Cardiac Investigation, Minor Complexity"
"211", "1", "F07A",  "Other Cardiothoracic/Vascular Procedures W CPB Pump, Major Complexity"
"212", "1", "F07B",  "Other Cardiothoracic/Vascular Procedures W CPB Pump, Intermediate Complexity"
"213", "1", "F07C",  "Other Cardiothoracic/Vascular Procedures W CPB Pump, Minor Complexity"
"214", "1", "F08A",  "Major Reconstructive Vascular Procedures W/O CPB Pump, Major Complexity"
"215", "1", "F08B",  "Major Reconstructive Vascular Procedures W/O CPB Pump, Intermediate Complexity"
"216", "1", "F08C",  "Major Reconstructive Vascular Procedures W/O CPB Pump, Minor Complexity"
"217", "1", "F09A",  "Other Cardiothoracic Procedures W/O CPB Pump, Major Complexity"
"218", "1", "F09B",  "Other Cardiothoracic Procedures W/O CPB Pump, Intermediate Complexity"
"219", "1", "F09C",  "Other Cardiothoracic Procedures W/O CPB Pump, Minor Complexity"
"220", "1", "F10A",  "Interventional Coronary Procedures, Admitted for AMI, Major Complexity"
"221", "1", "F10B",  "Interventional Coronary Procedures, Admitted for AMI, Minor Complexity"
"222", "1", "F11A",  "Amputation, Except Upper Limb and Toe, for Circulatory Disorders, Major Comp"
"223", "1", "F11B",  "Amputation, Except Upper Limb and Toe, for Circulatory Disorders, Minor Comp"
"224", "1", "F12A",  "Implantation and Replacement of Pacemaker, Total System, Major Complexity"
"225", "1", "F12B",  "Implantation and Replacement of Pacemaker, Total System, Minor Complexity"
"226", "1", "F13A",  "Amputation, Upper Limb and Toe, for Circulatory Disorders, Major Complexity"
"227", "1", "F13B",  "Amputation, Upper Limb and Toe, for Circulatory Disorders, Minor Complexity"
"228", "1", "F14A",  "Vascular Procedures, Except Major Reconstruction, W/O CPB Pump, Major Complexity"
"229", "1", "F14B",  "Vascular Procedures, Except Major Reconstruction, W/O CPB Pump, Interm Comp"
"230", "1", "F14C",  "Vascular Procedures, Except Major Reconstruction, W/O CPB Pump, Minor Complexity"
"231", "1", "F15A",  "Interventional Coronary Procs, Not Adm for AMI, W Stent Implant, Major Comp"
"232", "1", "F15B",  "Interventional Coronary Procs, Not Adm for AMI, W Stent Implant, Minor Comp"
"233", "1", "F16A",  "Interventional Coronary Procs, Not Adm for AMI, W/O Stent Implant, Major Comp"
"234", "1", "F16B",  "Interventional Coronary Procs, Not Adm for AMI, W/O Stent Implant, Minor Comp"
"235", "1", "F17A",  "Insertion and Replacement of Pacemaker Generator, Major Complexity"
"236", "1", "F17B",  "Insertion and Replacement of Pacemaker Generator, Minor Complexity"
"237", "1", "F18A",  "Other Pacemaker Procedures, Major Complexity"
"238", "1", "F18B",  "Other Pacemaker Procedures, Minor Complexity"
"239", "1", "F19A",  "Trans-Vascular Percutaneous Cardiac Intervention, Major Complexity"
"240", "1", "F19B",  "Trans-Vascular Percutaneous Cardiac Intervention, Minor Complexity"
"241", "1", "F20Z",  "Vein Ligation and Stripping"
"242", "1", "F21A",  "Other Circulatory System OR Procedures, Major Complexity"
"243", "1", "F21B",  "Other Circulatory System OR Procedures, Intermediate Complexity"
"244", "1", "F21C",  "Other Circulatory System OR Procedures, Minor Complexity"
"245", "1", "F40A",  "Circulatory Disorders W Ventilator Support, Major Complexity"
"246", "1", "F40B",  "Circulatory Disorders W Ventilator Support, Minor Complexity"
"247", "1", "F41A",  "Circulatory Disorders, Adm for AMI W Invasive Cardiac Inves Proc, Major Comp"
"248", "1", "F41B",  "Circulatory Disorders, Adm for AMI W Invasive Cardiac Inves Proc, Minor Comp"
"249", "1", "F42A",  "Circulatory Dsrds, Not Adm for AMI W Invasive Cardiac Inves Proc, Major Comp"
"250", "1", "F42B",  "Circulatory Dsrds, Not Adm for AMI W Invasive Cardiac Inves Proc, Minor Comp"
"251", "1", "F43A",  "Circulatory Disorders W Non-Invasive Ventilation, Major Complexity"
"252", "1", "F43B",  "Circulatory Disorders W Non-Invasive Ventilation, Minor Complexity"
"253", "1", "F60A",  "Circulatory Dsrd, Adm for AMI W/O Invas Card Inves Proc"
"254", "1", "F60B",  "Circulatory Dsrd, Adm for AMI W/O Invas Card Inves Proc, Transf <5 Days"
"255", "1", "F61A",  "Infective Endocarditis, Major Complexity"
"256", "1", "F61B",  "Infective Endocarditis, Minor Complexity"
"257", "1", "F62A",  "Heart Failure and Shock, Major Complexity"
"258", "1", "F62B",  "Heart Failure and Shock, Minor Complexity"
"259", "1", "F62C",  "Heart Failure and Shock, Transferred <5 Days"
"260", "1", "F63A",  "Venous Thrombosis, Major Complexity"
"261", "1", "F63B",  "Venous Thrombosis, Minor Complexity"
"262", "1", "F64A",  "Skin Ulcers in Circulatory Disorders, Major Complexity"
"263", "1", "F64B",  "Skin Ulcers in Circulatory Disorders, Intermediate Complexity"
"264", "1", "F64C",  "Skin Ulcers in Circulatory Disorders, Minor Complexity"
"265", "1", "F65A",  "Peripheral Vascular Disorders, Major Complexity"
"266", "1", "F65B",  "Peripheral Vascular Disorders, Minor Complexity"
"267", "1", "F66A",  "Coronary Atherosclerosis, Major Complexity"
"268", "1", "F66B",  "Coronary Atherosclerosis, Minor Complexity"
"269", "1", "F67A",  "Hypertension, Major Complexity"
"270", "1", "F67B",  "Hypertension, Minor Complexity"
"271", "1", "F68A",  "Congenital Heart Disease, Major Complexity"
"272", "1", "F68B",  "Congenital Heart Disease, Minor Complexity"
"273", "1", "F69A",  "Valvular Disorders, Major Complexity"
"274", "1", "F69B",  "Valvular Disorders, Minor Complexity"
"275", "1", "F72A",  "Unstable Angina, Major Complexity"
"276", "1", "F72B",  "Unstable Angina, Minor Complexity"
"277", "1", "F73A",  "Syncope and Collapse, Major Complexity"
"278", "1", "F73B",  "Syncope and Collapse, Minor Complexity"
"279", "1", "F74A",  "Chest Pain, Major Complexity"
"280", "1", "F74B",  "Chest Pain, Minor Complexity"
"281", "1", "F75A",  "Other Circulatory Disorders, Major Complexity"
"282", "1", "F75B",  "Other Circulatory Disorders, Intermediate Complexity"
"283", "1", "F75C",  "Other Circulatory Disorders, Minor Complexity"
"284", "1", "F76A",  "Arrhythmia, Cardiac Arrest and Conduction Disorders, Major Complexity"
"285", "1", "F76B",  "Arrhythmia, Cardiac Arrest and Conduction Disorders, Minor Complexity"
"286", "1", "G01A",  "Rectal Resection, Major Complexity"
"287", "1", "G01B",  "Rectal Resection, Intermediate Complexity"
"288", "1", "G01C",  "Rectal Resection, Minor Complexity"
"289", "1", "G02A",  "Major Small and Large Bowel Procedures, Major Complexity"
"290", "1", "G02B",  "Major Small and Large Bowel Procedures, Intermediate Complexity"
"291", "1", "G02C",  "Major Small and Large Bowel Procedures, Minor Complexity"
"292", "1", "G03A",  "Stomach, Oesophageal and Duodenal Procedures, Major Complexity"
"293", "1", "G03B",  "Stomach, Oesophageal and Duodenal Procedures, Intermediate Complexity"
"294", "1", "G03C",  "Stomach, Oesophageal and Duodenal Procedures, Minor Complexity"
"295", "1", "G04A",  "Peritoneal Adhesiolysis, Major Complexity"
"296", "1", "G04B",  "Peritoneal Adhesiolysis, Intermediate Complexity"
"297", "1", "G04C",  "Peritoneal Adhesiolysis, Minor Complexity"
"298", "1", "G05A",  "Minor Small and Large Bowel Procedures, Major Complexity"
"299", "1", "G05B",  "Minor Small and Large Bowel Procedures, Minor Complexity"
"300", "1", "G06Z",  "Pyloromyotomy"
"301", "1", "G07A",  "Appendicectomy, Major Complexity"
"302", "1", "G07B",  "Appendicectomy, Minor Complexity"
"303", "1", "G10A",  "Hernia Procedures, Major Complexity"
"304", "1", "G10B",  "Hernia Procedures, Minor Complexity"
"305", "1", "G11A",  "Anal and Stomal Procedures, Major Complexity"
"306", "1", "G11B",  "Anal and Stomal Procedures, Minor Complexity"
"307", "1", "G12A",  "Other Digestive System OR Procedures, Major Complexity"
"308", "1", "G12B",  "Other Digestive System OR Procedures, Intermediate Complexity"
"309", "1", "G12C",  "Other Digestive System OR Procedures, Minor Complexity"
"310", "1", "G46A",  "Complex Endoscopy, Major Complexity"
"311", "1", "G46B",  "Complex Endoscopy, Minor Complexity"
"312", "1", "G47A",  "Gastroscopy, Major Complexity"
"313", "1", "G47B",  "Gastroscopy, Intermediate Complexity"
"314", "1", "G47C",  "Gastroscopy, Minor Complexity"
"315", "1", "G48A",  "Colonoscopy, Major Complexity"
"316", "1", "G48B",  "Colonoscopy, Minor Complexity"
"317", "1", "G60A",  "Digestive Malignancy, Major Complexity"
"318", "1", "G60B",  "Digestive Malignancy, Minor Complexity"
"319", "1", "G61A",  "Gastrointestinal Haemorrhage, Major Complexity"
"320", "1", "G61B",  "Gastrointestinal Haemorrhage, Minor Complexity"
"321", "1", "G64A",  "Inflammatory Bowel Disease, Major Complexity"
"322", "1", "G64B",  "Inflammatory Bowel Disease, Minor Complexity"
"323", "1", "G65A",  "Gastrointestinal Obstruction, Major Complexity"
"324", "1", "G65B",  "Gastrointestinal Obstruction, Minor Complexity"
"325", "1", "G66A",  "Abdominal Pain and Mesenteric Adenitis, Major Complexity"
"326", "1", "G66B",  "Abdominal Pain and Mesenteric Adenitis, Minor Complexity"
"327", "1", "G67A",  "Oesophagitis and Gastroenteritis, Major Complexity"
"328", "1", "G67B",  "Oesophagitis and Gastroenteritis, Minor Complexity"
"329", "1", "G70A",  "Other Digestive System Disorders, Major Complexity"
"330", "1", "G70B",  "Other Digestive System Disorders, Minor Complexity"
"331", "1", "H01A",  "Pancreas, Liver and Shunt Procedures, Major Complexity"
"332", "1", "H01B",  "Pancreas, Liver and Shunt Procedures, Intermediate Complexity"
"333", "1", "H01C",  "Pancreas, Liver and Shunt Procedures, Minor Complexity"
"334", "1", "H02A",  "Major Biliary Tract Procedures, Major Complexity"
"335", "1", "H02B",  "Major Biliary Tract Procedures, Minor Complexity"
"336", "1", "H05A",  "Hepatobiliary Diagnostic Procedures, Major Complexity"
"337", "1", "H05B",  "Hepatobiliary Diagnostic Procedures, Minor Complexity"
"338", "1", "H06A",  "Other Hepatobiliary and Pancreas OR Procedures, Major Complexity"
"339", "1", "H06B",  "Other Hepatobiliary and Pancreas OR Procedures, Intermediate Complexity"
"340", "1", "H06C",  "Other Hepatobiliary and Pancreas OR Procedures, Minor Complexity"
"341", "1", "H07A",  "Open Cholecystectomy, Major Complexity"
"342", "1", "H07B",  "Open Cholecystectomy, Intermediate Complexity"
"343", "1", "H07C",  "Open Cholecystectomy, Minor Complexity"
"344", "1", "H08A",  "Laparoscopic Cholecystectomy, Major Complexity"
"345", "1", "H08B",  "Laparoscopic Cholecystectomy, Minor Complexity"
"346", "1", "H40A",  "Endoscopic Procedures for Bleeding Oesophageal Varices, Major Complexity"
"347", "1", "H40B",  "Endoscopic Procedures for Bleeding Oesophageal Varices, Intermediate Complexity"
"348", "1", "H40C",  "Endoscopic Procedures for Bleeding Oesophageal Varices, Minor Complexity"
"349", "1", "H43A",  "ERCP Procedures, Major Complexity"
"350", "1", "H43B",  "ERCP Procedures, Intermediate Complexity"
"351", "1", "H43C",  "ERCP Procedures, Minor Complexity"
"352", "1", "H60A",  "Cirrhosis and Alcoholic Hepatitis, Major Complexity"
"353", "1", "H60B",  "Cirrhosis and Alcoholic Hepatitis, Intermediate Complexity"
"354", "1", "H60C",  "Cirrhosis and Alcoholic Hepatitis, Minor Complexity"
"355", "1", "H61A",  "Malignancy of Hepatobiliary System and Pancreas, Major Complexity"
"356", "1", "H61B",  "Malignancy of Hepatobiliary System and Pancreas, Minor Complexity"
"357", "1", "H62A",  "Disorders of Pancreas, Except Malignancy, Major Complexity"
"358", "1", "H62B",  "Disorders of Pancreas, Except Malignancy, Minor Complexity"
"359", "1", "H63A",  "Other Disorders of Liver, Major Complexity"
"360", "1", "H63B",  "Other Disorders of Liver, Intermediate Complexity"
"361", "1", "H63C",  "Other Disorders of Liver, Minor Complexity"
"362", "1", "H64A",  "Disorders of the Biliary Tract, Major Complexity"
"363", "1", "H64B",  "Disorders of the Biliary Tract, Minor Complexity"
"364", "1", "I01A",  "Bilateral and Multiple Major Joint Procedures of Lower Limb, Major Complexity"
"365", "1", "I01B",  "Bilateral and Multiple Major Joint Procedures of Lower Limb, Minor Complexity"
"366", "1", "I02A",  "Microvascular Tissue Transfers or Skin Grafts, Excluding Hand, Major Complexity"
"367", "1", "I02B",  "Microvascular Tissue Transfers or Skin Grafts, Excluding Hand, Intermediate Comp"
"368", "1", "I02C",  "Microvascular Tissue Transfers or Skin Grafts, Excluding Hand, Minor Complexity"
"369", "1", "I03A",  "Hip Replacement, Major Complexity"
"370", "1", "I03B",  "Hip Replacement, Minor Complexity"
"371", "1", "I04A",  "Knee Replacement, Major Complexity"
